Program,Description,Parameters,Avg Time (s),User CPU (s),System CPU (s),Memory (KB),Std Dev (s),Min Time (s),Max Time (s),Variance (s²),Notes
"delannoy_gcc_-O0","Delannoy number calculation","13","9.556667","9.590000000","0","3556","9.536667","1.000e-10","0.0410961","9.510000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"delannoy_gcc_-O1","Delannoy number calculation","13","6.020000","6.010000000","0","3596","6.010000","1.000e-10","1.000e-10","6.020000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"delannoy_gcc_-O2","Delannoy number calculation","13","4.280000","4.280000000","0","3600","4.273333","1.000e-10","0.0141421","4.260000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"delannoy_gcc_-O3","Delannoy number calculation","13","4.273333","4.290000000","0","3592","4.266667","1.000e-10","0.0124722","4.260000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"delannoy_gcc_-Os","Delannoy number calculation","13","5.826667","5.800000000","0","3516","5.816667","1.000e-10","0.0124722","5.810000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"delannoy_gcc_-Ofast","Delannoy number calculation","13","4.510000","4.490000000","0","3580","4.503333","1.000e-10","0.0081649","4.500000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"nbody_gcc_-O0","N-body simulation","","17.860000","17.810000000","0","3488","17.826667","1.000e-10","0.0282843","17.840000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"nbody_gcc_-O1","N-body simulation","","10.353333","10.340000000","0","3392","10.336667","1.000e-10","0.0249444","10.320000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"nbody_gcc_-O2","N-body simulation","","10.343333","10.310000000","0","3508","10.323333","1.000e-10","0.0188562","10.330000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"nbody_gcc_-O3","N-body simulation","","10.350000","10.310000000","0","3492","10.326667","1.000e-10","0.0163299","10.330000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"nbody_gcc_-Os","N-body simulation","","10.340000","10.320000000","0","3520","10.320000","1.000e-10","0.0163299","10.320000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"nbody_gcc_-Ofast","N-body simulation","","7.520000","7.500000000","0","3540","7.500000","1.000e-10","1.000e-10","7.520000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"qap_gcc_-O0","Quadratic Assignment Problem","small_samples/qap/problems/chr15c.dat","13.936667","13.900000000","0","3480","13.906667","1.000e-10","0.0047140","13.930000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"qap_gcc_-O1","Quadratic Assignment Problem","small_samples/qap/problems/chr15c.dat","3.550000","3.530000000","0","3608","3.543333","1.000e-10","0.0081649","3.540000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"qap_gcc_-O2","Quadratic Assignment Problem","small_samples/qap/problems/chr15c.dat","3.220000","3.200000000","0","3528","3.210000","1.000e-10","0.0081649","3.210000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"qap_gcc_-O3","Quadratic Assignment Problem","small_samples/qap/problems/chr15c.dat","3.176667","3.160000000","0","3504","3.166667","1.000e-10","0.0047140","3.170000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"qap_gcc_-Os","Quadratic Assignment Problem","small_samples/qap/problems/chr15c.dat","3.653333","3.640000000","0","3552","3.643333","1.000e-10","0.0124722","3.640000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"qap_gcc_-Ofast","Quadratic Assignment Problem","small_samples/qap/problems/chr15c.dat","3.180000","3.180000000","0","3524","3.173333","1.000e-10","0.0081649","3.170000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_gcc_-O0","Matrix multiplication","","5.766667","5.710000000","0","24992","5.743333","0.0033333","0.0286744","5.730000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_gcc_-O1","Matrix multiplication","","2.150000","2.070000000","0","24968","2.140000","1.000e-10","0.0827647","2.080000","Target precision of 0.05 reached after 4 runs , Cluster execution, Cache cleared"
"mmul_gcc_-O2","Matrix multiplication","","2.130000","2.080000000","0","25016","2.117500","0.0025000","0.0809321","2.080000","Target precision of 0.05 reached after 4 runs , Cluster execution, Cache cleared"
"mmul_gcc_-O3","Matrix multiplication","","2.090000","2.090000000",".010000000","24824","2.076667","0.0066667","0.0163299","2.070000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_gcc_-Os","Matrix multiplication","","2.165000","2.190000000","0","24968","2.155000","1.000e-10","0.0804674","2.080000","Target precision of 0.05 reached after 4 runs , Cluster execution, Cache cleared"
"mmul_gcc_-Ofast","Matrix multiplication","","2.083333","2.080000000","0","24940","2.073333","1.000e-10","0.0047140","2.080000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"ssca2","ssca2 Benchmark O0","15","9.676667","9.750000000","0","8212","9.646667","1.000e-10","0.0740870","9.610000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"ssca2","ssca2 Benchmark O1","15","9.810000","9.800000000","0","8168","9.783333","1.000e-10","0.0141421","9.790000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"ssca2","ssca2 Benchmark O2","15","9.796667","9.790000000","0","8164","9.766667","1.000e-10","0.0618241","9.710000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"ssca2","ssca2 Benchmark O3","15","9.816667","9.780000000","0","8164","9.786667","1.000e-10","0.0249444","9.790000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"ssca2","ssca2 Benchmark Os","15","9.773333","9.740000000","0","8100","9.743333","1.000e-10","0.0694422","9.690000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"ssca2","ssca2 Benchmark Ofast","15","9.850000","9.820000000","0","8208","9.820000","1.000e-10","1.000e-10","9.850000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"npb_bt_w","NPB BT Benchmark O0","","11.610000","11.420000000","0","4520","11.576667","1.000e-10","0.106771","11.460000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"npb_bt_w","NPB BT Benchmark O1","","11.623333","11.620000000","0","4492","11.593333","1.000e-10","0.0249444","11.590000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"npb_bt_w","NPB BT Benchmark O2","","11.470000","11.320000000","0","4604","11.436667","1.000e-10","0.0941630","11.360000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"npb_bt_w","NPB BT Benchmark O3","","11.513333","11.420000000","0","4588","11.480000","1.000e-10","0.104030","11.430000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"npb_bt_w","NPB BT Benchmark Os","","11.526667","11.490000000","0","4520","11.493333","1.000e-10","0.122565","11.380000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"npb_bt_w","NPB BT Benchmark Ofast","","11.456667","11.310000000","0","4500","11.423333","1.000e-10","0.0793025","11.350000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
